din_instante,vento_10m_ms,vento_100m_ms,ssrd_wm2,hora
2024-01-13 08:00:00,3.4599882313865016,4.733806609776509,0.8455036756727431,8
2024-01-13 09:00:00,3.4727955301795053,4.726902934116276,18.608151041666666,9
2024-01-13 10:00:00,3.5984195613877232,4.814645607849268,81.819765625,10
2024-01-13 11:00:00,3.6170167988035757,4.625180629923586,203.0548784722222,11
2024-01-13 12:00:00,3.6623428673706995,4.521878566115961,362.94909722222224,12
2024-01-13 13:00:00,3.7054220942972464,4.4727478984758955,522.0408333333334,13
2024-01-13 14:00:00,3.7181486221578743,4.449184200025187,656.6852083333333,14
2024-01-13 15:00:00,3.6945960204927464,4.405172455904491,726.6379861111111,15
2024-01-13 16:00:00,3.660292571744565,4.3643493935032565,741.6102083333334,16
2024-01-13 17:00:00,3.6369636524746074,4.337258514897025,713.6298611111112,17
2024-01-13 18:00:00,3.6327989279094997,4.35164232386846,639.4452083333333,18
2024-01-13 19:00:00,3.6361348286063566,4.382661203176012,524.5629166666666,19
2024-01-13 20:00:00,3.6562241882746536,4.452513683328034,368.5468055555556,20
2024-01-13 21:00:00,3.6126711280131985,4.535839610121475,211.5586284722222,21
2024-01-13 22:00:00,3.4688305045369257,4.617214989179877,94.09859375,22
2024-01-13 23:00:00,3.5075331519803,4.7842393330001896,25.123617621527778,23
2024-01-14 00:00:00,3.5746203399869687,4.958318901584575,1.8084685601128472,0
2024-01-14 01:00:00,3.611350279375901,5.059436714722048,0.0001230274885892868,1
2024-01-14 02:00:00,3.610179718930044,5.091629029027496,0.0,2
2024-01-14 03:00:00,3.5769483725939337,5.0578948881391845,0.0,3
2024-01-14 04:00:00,3.529047681012974,4.992635743191931,0.0,4
2024-01-14 05:00:00,3.482418180930842,4.9221537267984194,0.0,5
2024-01-14 06:00:00,3.4491235404541274,4.864461433800761,0.0,6
2024-01-14 07:00:00,3.421403355041151,4.811876487023116,0.0,7
2024-01-14 08:00:00,3.4081383831052054,4.775579451433679,0.8341636827256944,8
2024-01-14 09:00:00,3.409813699118084,4.7450843811704395,18.678266059027777,9
2024-01-14 10:00:00,3.546779272952287,4.79984022818552,85.18743055555555,10
2024-01-14 11:00:00,3.6390033595022353,4.6985129590148995,211.6952951388889,11
2024-01-14 12:00:00,3.7399656192947583,4.678449816416867,377.2942361111111,12
2024-01-14 13:00:00,3.8243647940854513,4.692009053667947,548.4005902777777,13
2024-01-14 14:00:00,3.8880631460697335,4.743355910152567,689.5872222222222,14
2024-01-14 15:00:00,3.9109782229100944,4.765744448297461,771.1891666666667,15
2024-01-14 16:00:00,3.887047790943172,4.741514542467909,794.5211805555556,16
2024-01-14 17:00:00,3.855884361677442,4.712310991459728,754.3663888888889,17
2024-01-14 18:00:00,3.8349946177970318,4.700270340266806,669.3885416666667,18
2024-01-14 19:00:00,3.8287361907857185,4.722882210591146,541.0781597222223,19
2024-01-14 20:00:00,3.817035411440574,4.76220204421699,381.7975347222222,20
2024-01-14 21:00:00,3.7486041842011764,4.805359378210907,220.47486111111112,21
2024-01-14 22:00:00,3.6920970751944835,4.980469591812952,95.73754340277777,22
2024-01-14 23:00:00,3.731102477837859,5.180167057561401,26.068359375,23
2024-01-15 00:00:00,3.7957580649410074,5.3338092122298075,1.9109162055121527,0
2024-01-15 01:00:00,3.813364275468852,5.389432264387701,0.00011568256550365024,1
2024-01-15 02:00:00,3.804245991404072,5.384375874540924,0.0,2
2024-01-15 03:00:00,3.778352051492516,5.340315550651781,0.0,3
2024-01-15 04:00:00,3.7496638107532085,5.288710519373273,0.0,4
2024-01-15 05:00:00,3.714523010252745,5.230813915933117,0.0,5
2024-01-15 06:00:00,3.684621270035767,5.173148204645357,0.0,6
2024-01-15 07:00:00,3.651653106671458,5.109420042349171,0.0,7
2024-01-15 08:00:00,3.6122077463841995,5.0480999206870445,0.9675940619574652,8
2024-01-15 09:00:00,3.595496925020715,5.003460797971494,19.92958550347222,9
2024-01-15 10:00:00,3.6332288769327667,4.9662900829073235,89.1321875,10
2024-01-15 11:00:00,3.676717932638522,4.8396055174986925,217.88050347222222,11
2024-01-15 12:00:00,3.742651893083515,4.758934560427148,386.7236111111111,12
2024-01-15 13:00:00,3.8262915442282033,4.740979558059515,564.1682986111111,13
2024-01-15 14:00:00,3.844591492197731,4.724403741941918,694.1194444444444,14
2024-01-15 15:00:00,3.8385020958710303,4.699733097055931,781.0985416666666,15
2024-01-15 16:00:00,3.8056763414495025,4.658479248597766,800.2684722222223,16
2024-01-15 17:00:00,3.771548014852741,4.6177864256857815,778.0359722222222,17
2024-01-15 18:00:00,3.746163428779263,4.598249717727932,687.4077083333333,18
2024-01-15 19:00:00,3.71612507742637,4.589348417985874,563.6470138888889,19
2024-01-15 20:00:00,3.698321822375228,4.6154411908333195,390.10041666666666,20
2024-01-15 21:00:00,3.622715900240253,4.65426660576997,225.9142013888889,21
2024-01-15 22:00:00,3.489538469814128,4.715636518552803,97.02322048611111,22
2024-01-15 23:00:00,3.540243314147488,4.8948695726483225,24.979342447916668,23
2024-01-16 00:00:00,3.629035476974403,5.078940016661598,1.757200927734375,0
2024-01-16 01:00:00,3.6943849777484195,5.21535990389234,8.936324881182777e-05,1
